방향,열차번호,종류,서대구,동대구,경주,운행일
하행,1,KTX,,6:58,7:16,매일
하행,3,KTX,,7:24,7:42,매일
하행,7,KTX,,8:29,8:48,매일
하행,13,KTX,,9:33,9:52,매일
하행,15,KTX,,9:54,10:12,매일
하행,121,KTX,,10:41,10:59,매일
하행,21,KTX,,11:54,12:12,매일
하행,123,KTX,,12:43,13:01,매일
하행,25,KTX,,12:49,13:08,매일
하행,27,KTX,,13:49,14:08,매일
하행,31,KTX_산천,,15:00,15:19,매일
하행,339,KTX,,15:28,15:46,매일
하행,35,KTX,,15:49,16:07,매일
하행,39,KTX-산천,,16:19,16:38,매일
하행,87,KTX,,16:37,16:55,금토일
하행,41,KTX,,16:55,17:13,매일
하행,89,KTX-산천,,17:07,17:25,금토일
하행,45,KTX,17:45,17:54,18:14,매일
하행,49,KTX,,18:55,19:13,매일
하행,51,KTX,,19:19,19:37,매일
하행,57,KTX,,20:21,20:40,매일
하행,91,KTX,,21:03,21:21,금토일
하행,127,KTX,,21:28,21:46,매일
하행,93,KTX,,21:42,22:01,금토일
하행,177,KTX,,22:22,22:41,금토일
하행,67,KTX,,22:53,23:12,매일
하행,195,KTX-산천,,23:24,23:43,매일
상행,82,KTX,,5:38,5:20,월
상행,4,KTX,,6:06,5:47,매일
상행,192,KTX-산천,,6:55,6:37,매일
상행,8,KTX,,7:02,6:44,매일
상행,84,KTX,7:24,7:14,6:56,금토일
상행,170,KTX,,7:29,7:11,토일
상행,12,KTX,8:25,8:15,7:57,매일
상행,14,KTX,,8:58,8:40,매일
상행,16,KTX,,9:32,9:14,매일
상행,24,KTX,,10:43,10:24,매일
상행,326,KTX,,11:26,11:08,매일
상행,34,KTX,,13:57,13:38,매일
상행,38,KTX,,15:07,14:48,매일
상행,40,KTX,,15:24,15:06,매일
상행,92,KTX,,15:53,15:35,금토일
상행,46,KTX,,17:09,16:50,매일
상행,48,KTX,,17:42,17:24,매일
상행,52,KTX_산천,,18:13,17:55,매일
상행,126,KTX,,18:43,18:25,매일
상행,98,KTX-산천,,19:16,18:53,금토일
상행,56,KTX,,19:25,19:07,매일
상행,100,KTX,,20:31,20:13,금토일
상행,194,KTX-산천,,20:31,20:13,월화수목
상행,66,KTX,,21:53,21:35,매일
상행,68,KTX,,22:21,22:03,매일
상행,74,KTX,,22:57,22:38,매일
