방향,열차번호,종류,서대구,동대구,경주,운행일
하행,301,SRT,,7:14,7:32,매일
하행,303,SRT,,7:44,8:08,매일
하행,305,SRT,,8:14,8:32,금토일
하행,307,SRT,,8:44,9:02,매일
하행,311,SRT,,9:10,9:28,매일
하행,315,SRT,,10:00,10:18,매일
하행,319,SRT,10:49,10:58,11:18,매일
하행,321,SRT,,11:09,11:27,매일
하행,327,SRT,,12:33,12:52,매일
하행,329,SRT,,13:58,14:18,금토일
하행,335,SRT,,14:48,15:06,매일
하행,339,SRT,,15:28,15:46,매일
하행,343,SRT,,16:47,17:06,매일
하행,349,SRT,,18:01,18:20,매일
하행,355,SRT,19:02,19:11,19:30,매일
하행,357,SRT,,19:37,19:56,매일
하행,359,SRT,,20:14,20:32,매일
하행,361,SRT,,20:32,20:51,매일
하행,371,SRT,,22:28,22:47,매일
상행,304,SRT,,6:21,6:02,매일
상행,308,SRT,,7:40,7:21,매일
상행,312,SRT,,8:28,8:09,매일
상행,314,SRT,,8:52,8:29,금토일
상행,318,SRT,,9:48,9:29,매일
상행,324,SRT,,10:59,10:40,매일
상행,326,SRT,,11:26,11:08,매일
상행,330,SRT,,13:09,12:50,매일
상행,334,SRT,13:47,13:38,13:19,매일
상행,342,SRT,,15:17,14:59,매일
상행,352,SRT,,16:52,16:34,매일
상행,354,SRT,,17:36,17:18,매일
상행,358,SRT,,18:31,18:08,금토일
상행,360,SRT,,18:58,18:39,매일
상행,362,SRT,,19:45,19:26,매일
상행,364,SRT,,20:22,19:56,금토일
상행,370,SRT,,21:23,21:05,매일
상행,378,SRT,23:24,23:14,22:56,매일
